TOKEN_ID,TOKEN_NAME,body,hats,shirt,face,tier,RARITY_SCORE,Rank
3378,Cool Cat #3378,95.0,138.9946973044631,92.83177570093459,69.74390243902438,118.90561995967742,515.4759954040995,2154
7483,Cool Cat #7483,95.0,97.56358560794044,134.22972972972974,69.74390243902438,118.90561995967742,515.442837736372,2155
7193,Cool Cat #7193,95.0,117.98387096774194,132.44,74.92139737991266,95.04784448025785,515.3931128279124,2156
8843,Cool Cat #8843,95.0,101.46612903225807,134.22972972972974,65.73563218390804,118.90561995967742,515.3371109055732,2157
1302,Cool Cat #1302,95.0,198.95319418089815,51.201030927835056,74.92139737991266,95.04784448025785,515.1234669689037,2158
9915,Cool Cat #9915,95.0,198.95319418089815,45.56422018348624,80.54929577464789,95.04784448025785,515.1145546192902,2159
6025,Cool Cat #6025,95.0,97.56358560794044,132.44,71.1908713692946,118.90561995967742,515.1000769369124,2160
7688,Cool Cat #7688,95.0,133.50806451612902,87.13157894736842,80.54929577464789,118.90561995967742,515.0945591978227,2161
7663,Cool Cat #7663,95.0,99.47659709044908,146.07352941176472,79.43055555555556,95.04784448025785,515.0285265380272,2162
4134,Cool Cat #4134,95.0,53.40322580645161,191.01923076923077,80.54929577464789,95.04784448025785,515.0195968305882,2163
2443,Cool Cat #2443,95.0,135.28817204301075,94.6,71.1908713692946,118.90561995967742,514.9846633719827,2164
8944,Cool Cat #8944,95.0,96.63440860215053,157.66666666666666,70.60493827160494,95.04784448025785,514.95385802068,2165
941,Cool Cat #941,95.0,117.98387096774194,132.44,74.27272727272727,95.04784448025785,514.7444427207271,2166
5247,Cool Cat #5247,95.0,161.0573476702509,88.6875,74.92139737991266,95.04784448025785,514.7140895304215,2167
2578,Cool Cat #2578,95.0,89.00537634408602,157.66666666666666,77.98636363636363,95.04784448025785,514.7062511273741,2168
5784,Cool Cat #5784,95.0,144.9516129032258,78.21259842519686,77.63348416289593,118.90561995967742,514.703315450996,2169
9670,Cool Cat #9670,95.0,135.28817204301075,93.70754716981132,71.78661087866108,118.90561995967742,514.6879500511606,2170
2282,Cool Cat #2282,95.0,161.0573476702509,92.83177570093459,70.60493827160494,95.04784448025785,514.5419061230483,2171
3820,Cool Cat #3820,95.0,120.79301075268816,106.80645161290322,73.00851063829788,118.90561995967742,514.5135929635667,2172
3190,Cool Cat #3190,95.0,120.79301075268816,106.80645161290322,73.00851063829788,118.90561995967742,514.5135929635667,2173
8204,Cool Cat #8204,95.0,198.95319418089815,53.69189189189189,71.78661087866108,95.04784448025785,514.479541431709,2174
3808,Cool Cat #3808,95.0,140.92517921146953,88.6875,70.89669421487604,118.90561995967742,514.414993386023,2175
8925,Cool Cat #8925,95.0,98.51080488568742,127.34615384615385,74.59565217391305,118.90561995967742,514.3582308654318,2176
128,Cool Cat #128,95.0,85.26565464895637,143.95652173913044,71.1908713692946,118.90561995967742,514.3186677170588,2177
7938,Cool Cat #7938,95.0,100.4615138933248,129.0,70.89669421487604,118.90561995967742,514.2638280678783,2178
3972,Cool Cat #3972,95.0,142.91004089050432,85.62931034482759,71.78661087866108,118.90561995967742,514.2315820736703,2179
5907,Cool Cat #5907,95.0,138.9946973044631,80.7560975609756,80.54929577464789,118.90561995967742,514.205710599764,2180
415,Cool Cat #415,95.0,138.9946973044631,89.48648648648648,71.78661087866108,118.90561995967742,514.173414629288,2181
479,Cool Cat #479,95.0,130.08478081058726,92.83177570093459,77.28378378378378,118.90561995967742,514.1059602549831,2182
1019,Cool Cat #1019,95.0,100.4615138933248,150.5,73.00851063829788,95.04784448025785,514.0178690118805,2183
3187,Cool Cat #3187,95.0,138.9946973044631,88.6875,72.39240506329115,118.90561995967742,513.9802223274316,2184
9221,Cool Cat #9221,95.0,153.73655913978493,78.21259842519686,68.08333333333333,118.90561995967742,513.9381108579925,2185
6180,Cool Cat #6180,95.0,112.74014336917563,115.5,71.78661087866108,118.90561995967742,513.932374207514,2186
2553,Cool Cat #2553,95.0,93.95011947431303,150.5,79.43055555555556,95.04784448025785,513.9285195101264,2187
7041,Cool Cat #7041,95.0,96.63440860215053,132.44,70.89669421487604,118.90561995967742,513.876722776704,2188
5805,Cool Cat #5805,95.0,142.91004089050432,80.7560975609756,76.25333333333333,118.90561995967742,513.8250917444907,2189
8927,Cool Cat #8927,95.0,93.95011947431303,136.06849315068493,69.74390243902438,118.90561995967742,513.6681350236997,2190
2737,Cool Cat #2737,95.0,140.92517921146953,92.83177570093459,65.98846153846154,118.90561995967742,513.651036410543,2191
9136,Cool Cat #9136,95.0,110.289270687237,115.5,73.95258620689656,118.90561995967742,513.647476853811,2192
2438,Cool Cat #2438,95.0,112.74014336917563,106.80645161290322,80.17289719626169,118.90561995967742,513.6251121380179,2193
3217,Cool Cat #3217,95.0,195.12717121588088,52.83510638297872,75.58149779735682,95.04784448025785,513.5916198764743,2194
