,block_numbers,timestamps,base_fee
425,13213293,2021-09-12 21:13:41,74.116315845
426,13213294,2021-09-12 21:13:54,81.703684973
427,13213295,2021-09-12 21:14:03,77.482302725
428,13213296,2021-09-12 21:14:25,74.154920796
429,13213297,2021-09-12 21:14:42,83.306548917
430,13213298,2021-09-12 21:14:50,73.96547653
431,13213299,2021-09-12 21:15:04,78.318282569
432,13213300,2021-09-12 21:15:09,73.737323523
433,13213301,2021-09-12 21:15:10,65.016903082
434,13213302,2021-09-12 21:15:20,73.137475808
435,13213303,2021-09-12 21:15:34,77.918010007
436,13213304,2021-09-12 21:15:40,72.490064167
437,13213305,2021-09-12 21:15:42,64.295855252
438,13213306,2021-09-12 21:15:43,56.258873346
439,13213307,2021-09-12 21:16:27,63.284077792
440,13213308,2021-09-12 21:16:55,65.575227201
441,13213309,2021-09-12 21:17:05,73.771613649
442,13213310,2021-09-12 21:17:22,82.982830158
443,13213311,2021-09-12 21:17:56,78.199883082
444,13213312,2021-09-12 21:18:06,87.962648228
445,13213313,2021-09-12 21:18:09,92.687694566
446,13213314,2021-09-12 21:18:56,104.258603905
447,13213315,2021-09-12 21:19:00,98.759528152
448,13213316,2021-09-12 21:19:07,90.945132754
449,13213317,2021-09-12 21:19:09,83.014714905
450,13213318,2021-09-12 21:19:11,79.768798737
451,13213319,2021-09-12 21:19:12,70.523244646
452,13213320,2021-09-12 21:19:38,79.328965622
453,13213321,2021-09-12 21:19:40,76.081742831
454,13213322,2021-09-12 21:20:07,70.964090452
455,13213323,2021-09-12 21:20:27,79.82260173
456,13213324,2021-09-12 21:21:00,89.795952889
457,13213325,2021-09-12 21:21:17,101.019406115
458,13213326,2021-09-12 21:21:25,92.817531937
459,13213327,2021-09-12 21:21:34,87.811446198
460,13213328,2021-09-12 21:21:39,81.888257544
461,13213329,2021-09-12 21:21:46,77.367517338
462,13213330,2021-09-12 21:21:58,85.317939321
463,13213331,2021-09-12 21:22:13,83.362497655
464,13213332,2021-09-12 21:22:43,88.38668453
465,13213333,2021-09-12 21:22:56,84.594640916
466,13213334,2021-09-12 21:22:58,74.739203271
467,13213335,2021-09-12 21:22:59,70.602551551
468,13213336,2021-09-12 21:23:09,78.958616402
469,13213337,2021-09-12 21:23:15,87.945830878
470,13213338,2021-09-12 21:23:16,78.445330789
471,13213339,2021-09-12 21:23:20,72.972493698
472,13213340,2021-09-12 21:23:33,69.231842691
473,13213341,2021-09-12 21:23:36,67.812757804
474,13213342,2021-09-12 21:23:52,72.134008252
475,13213343,2021-09-12 21:23:58,64.356872338
476,13213344,2021-09-12 21:24:52,72.394480961
477,13213345,2021-09-12 21:24:53,63.345170841
478,13213346,2021-09-12 21:25:09,60.814831628
479,13213347,2021-09-12 21:25:23,68.414458385
480,13213348,2021-09-12 21:25:33,76.956908865
481,13213349,2021-09-12 21:25:41,81.558674381
482,13213350,2021-09-12 21:25:47,77.19020071
483,13213351,2021-09-12 21:25:55,75.083048225
484,13213352,2021-09-12 21:27:10,84.459934554
485,13213353,2021-09-12 21:27:24,95.011500948
486,13213354,2021-09-12 21:27:26,96.383473355
487,13213355,2021-09-12 21:27:28,84.743512771
488,13213356,2021-09-12 21:27:43,81.638731815
489,13213357,2021-09-12 21:27:51,75.222882573
490,13213358,2021-09-12 21:28:50,84.621257103
491,13213359,2021-09-12 21:28:53,87.313329374
492,13213360,2021-09-12 21:28:56,77.265455977
493,13213361,2021-09-12 21:29:36,86.559098568
494,13213362,2021-09-12 21:29:39,82.096673359
495,13213363,2021-09-12 21:29:43,72.538795982
496,13213364,2021-09-12 21:29:57,74.72909789
497,13213365,2021-09-12 21:30:18,78.600287979
498,13213366,2021-09-12 21:30:23,73.665182223
499,13213367,2021-09-12 21:30:29,68.391766845
500,13213368,2021-09-12 21:30:38,75.715100815
501,13213369,2021-09-12 21:30:41,69.405595522
502,13213370,2021-09-12 21:30:47,63.892223231
503,13213371,2021-09-12 21:30:55,69.913428478
504,13213372,2021-09-12 21:31:01,62.304146632
505,13213373,2021-09-12 21:31:05,61.403434795
506,13213374,2021-09-12 21:31:13,60.604761854
507,13213375,2021-09-12 21:31:29,61.26914004
508,13213376,2021-09-12 21:31:35,55.161780593
509,13213377,2021-09-12 21:31:58,61.742705425
510,13213378,2021-09-12 21:32:04,68.951816639
511,13213379,2021-09-12 21:32:09,61.393223691
512,13213380,2021-09-12 21:32:22,64.438348577
513,13213381,2021-09-12 21:32:27,57.224769186
514,13213382,2021-09-12 21:32:30,59.972590537
515,13213383,2021-09-12 21:32:41,62.788694983
516,13213384,2021-09-12 21:32:50,62.078301072
517,13213385,2021-09-12 21:32:52,67.410950773
518,13213386,2021-09-12 21:33:03,65.247685052
519,13213387,2021-09-12 21:33:05,60.050519028
520,13213388,2021-09-12 21:33:31,67.516563528
521,13213389,2021-09-12 21:33:35,61.696811295
522,13213390,2021-09-12 21:33:44,68.507728464
523,13213391,2021-09-12 21:33:45,71.36769322
524,13213392,2021-09-12 21:33:57,68.576955356
525,13213393,2021-09-12 21:34:05,75.214902101
526,13213394,2021-09-12 21:34:10,66.369902968
527,13213395,2021-09-12 21:34:23,67.726237391
528,13213396,2021-09-12 21:34:39,67.103602909
529,13213397,2021-09-12 21:34:56,65.982014278
530,13213398,2021-09-12 21:34:58,67.42122332
531,13213399,2021-09-12 21:35:02,71.951686441
532,13213400,2021-09-12 21:35:17,70.139529962
533,13213401,2021-09-12 21:35:40,64.570059087
534,13213402,2021-09-12 21:35:50,72.547400629
535,13213403,2021-09-12 21:36:10,74.047046688
536,13213404,2021-09-12 21:36:23,65.515109636
537,13213405,2021-09-12 21:36:55,73.697218519
