,TOKEN_ID,USER,OFFER,DATE,RANK
126,3821,0xcf3a3b5f14ab40909e893f2835904229cb6abfc8,0.3108,2021-12-14T20:11:42.774076,1498
127,4518,0x05a20556c35bedd717ba48218d1644d37ef17499,0.3515,2021-12-14T20:08:37.779455,3580
128,4683,0x05a20556c35bedd717ba48218d1644d37ef17499,0.3515,2021-12-14T20:05:29.397605,6249
129,741,0x354bae8609ac52fa7e6ce3ea28361399ca0c8842,0.4611,2021-12-14T20:00:43.926208,5192
130,4683,0xcf3a3b5f14ab40909e893f2835904229cb6abfc8,0.3387,2021-12-14T19:57:48.087821,6249
131,5981,0x05a20556c35bedd717ba48218d1644d37ef17499,0.3515,2021-12-14T19:48:51.738158,3551
132,5980,0x05a20556c35bedd717ba48218d1644d37ef17499,0.3515,2021-12-14T19:47:43.273346,6242
133,8711,0x1c8c387a4e1caf6a0071c0ed3afc27b41e63aba6,0.525,2021-12-14T19:21:27.990780,4634
134,3821,0xfc29c1ee0ed33103bc13faf34773812a9ac63107,0.5,2021-12-14T19:14:31.575219,1498
135,8711,0x05a20556c35bedd717ba48218d1644d37ef17499,0.3515,2021-12-14T19:09:12.526648,4634
136,741,0xfc29c1ee0ed33103bc13faf34773812a9ac63107,0.5,2021-12-14T19:06:05.278204,5192
137,5980,0xfc29c1ee0ed33103bc13faf34773812a9ac63107,0.5,2021-12-14T19:02:17.387033,6242
138,3821,0x7af0d2f0676c4c6e95797b7ca09b236cb6a6d32d,0.24,2021-12-14T19:00:49.459779,1498
139,4518,0xfc29c1ee0ed33103bc13faf34773812a9ac63107,0.5,2021-12-14T19:00:12.407963,3580
140,4683,0x8de4e946f716441a42a8ccd1b631e7fd21cc90f5,0.447,2021-12-14T18:59:22.538813,6249
141,8711,0x8de4e946f716441a42a8ccd1b631e7fd21cc90f5,0.421,2021-12-14T18:57:42.394828,4634
142,8711,0xbae24c3227779b641dc55cbe0dd2aafdde9e3133,0.44,2021-12-14T18:55:41.764875,4634
143,8711,0xfc29c1ee0ed33103bc13faf34773812a9ac63107,0.5,2021-12-14T18:55:03.888592,4634
144,5980,0xe629f34b59fdfbf9d0ae919b8a488cbc6aa004a6,0.231,2021-12-14T18:48:19.068341,6242
145,5980,0xe629f34b59fdfbf9d0ae919b8a488cbc6aa004a6,0.231,2021-12-14T18:48:17.085199,6242
146,3821,0xe629f34b59fdfbf9d0ae919b8a488cbc6aa004a6,0.2205,2021-12-14T18:47:24.014735,1498
147,3821,0x7af0d2f0676c4c6e95797b7ca09b236cb6a6d32d,0.21,2021-12-14T18:45:33.502231,1498
148,741,0x1a89cf6ac184c1ff75e48782b9b3faa24c2b8589,0.429975,2021-12-14T18:36:32.881885,5192
149,741,0x1a89cf6ac184c1ff75e48782b9b3faa24c2b8589,0.429975,2021-12-14T18:36:31.069355,5192
150,741,0x2e9dea0193a5cfe5c5a6b0c6bdc7a52541c0092d,0.4095,2021-12-14T18:35:49.883979,5192
151,8711,0x1a89cf6ac184c1ff75e48782b9b3faa24c2b8589,0.42,2021-12-14T18:35:29.768135,4634
152,8711,0x1a89cf6ac184c1ff75e48782b9b3faa24c2b8589,0.42,2021-12-14T18:35:28.112445,4634
153,3821,0x9354512f2e6aeb61f32a30fce0d9142a3e508b01,0.2,2021-12-14T18:14:23.574999,1498
154,3821,0xcf6d1bee82a7c2517fa7c3674f590e7225053dcc,0.15,2021-12-14T18:02:59.095622,1498
155,4518,0xfc29c1ee0ed33103bc13faf34773812a9ac63107,0.429975,2021-12-14T17:34:28.916592,3580
156,4683,0x1bad9a5dd30b98d30371dd16de8e58540b9774cd,0.65,2021-12-14T17:16:06.909838,6249
157,4683,0x45a77b0925cfd7367844b872c22751f47143f7e7,0.567,2021-12-14T17:09:10.462047,6249
158,4683,0x45a77b0925cfd7367844b872c22751f47143f7e7,0.5,2021-12-14T17:08:12.680779,6249
159,5980,0xfc29c1ee0ed33103bc13faf34773812a9ac63107,0.47,2021-12-14T17:08:08.016085,6242
160,4683,0x1bad9a5dd30b98d30371dd16de8e58540b9774cd,0.54,2021-12-14T17:07:53.062765,6249
161,741,0x7cdbbcc3bf7dfa8db52f9fef414865d41ff50bad,0.484,2021-12-14T17:06:35.993373,5192
162,5980,0xfc29c1ee0ed33103bc13faf34773812a9ac63107,0.39,2021-12-14T17:05:39.585680,6242
163,5980,0x7cdbbcc3bf7dfa8db52f9fef414865d41ff50bad,0.39,2021-12-14T17:04:57.051356,6242
164,4683,0x7cdbbcc3bf7dfa8db52f9fef414865d41ff50bad,0.45,2021-12-14T17:04:20.828785,6249
165,4683,0xc5ca9e911d0634d76cc8665cd3644500f4c9dcdb,0.4254271875,2021-12-14T17:01:56.031487,6249
166,4683,0xc5ca9e911d0634d76cc8665cd3644500f4c9dcdb,0.4254271875,2021-12-14T17:01:49.213393,6249
167,4683,0xfb04c48396a3872eae8e9c35c79a0cd11b543266,0.4924851479296875,2021-12-14T16:43:18.843608,6249
168,4683,0xfb04c48396a3872eae8e9c35c79a0cd11b543266,0.4924851479296875,2021-12-14T16:43:17.914633,6249
169,4683,0xf998ebc047ce68c6eb62a2b04f66afeb6cb01161,0.3963,2021-12-14T16:40:36.052866,6249
170,4518,0x8f2465caaee6d023f58e9fa5e5d48bce98be5860,0.4095,2021-12-14T16:38:03.712927,3580
171,4518,0x8f2465caaee6d023f58e9fa5e5d48bce98be5860,0.4095,2021-12-14T16:37:59.291661,3580
172,3122,0x8f2465caaee6d023f58e9fa5e5d48bce98be5860,0.5,2021-12-14T16:37:06.944880,4959
173,5981,0x354bae8609ac52fa7e6ce3ea28361399ca0c8842,0.5011,2021-12-14T16:29:52.724005,3551
174,275,0x7cdbbcc3bf7dfa8db52f9fef414865d41ff50bad,0.51,2021-12-14T16:27:09.827808,5719
175,4683,0xc5ca9e911d0634d76cc8665cd3644500f4c9dcdb,0.46903347421875,2021-12-14T16:26:15.418099,6249
176,4683,0xc5ca9e911d0634d76cc8665cd3644500f4c9dcdb,0.46903347421875,2021-12-14T16:26:14.185808,6249
177,272,0xfe04b42949b3672d9d3809242615b1cecee442f7,0.51,2021-12-14T16:23:58.710123,8051
178,4683,0xdc7c7b647df8346427ca6fea72b789e7acc0a6ca,0.446698546875,2021-12-14T16:23:34.497959,6249
179,275,0xdc7c7b647df8346427ca6fea72b789e7acc0a6ca,0.426764244375,2021-12-14T16:23:32.358054,5719
180,741,0xfc29c1ee0ed33103bc13faf34773812a9ac63107,0.46,2021-12-14T16:23:26.991630,5192
181,741,0xc2ad0b388af40fa0a26ce2f2a7caf3583b9a5139,0.509,2021-12-14T16:22:28.765616,5192
182,741,0xc2ad0b388af40fa0a26ce2f2a7caf3583b9a5139,0.509,2021-12-14T16:22:25.481755,5192
183,275,0xb63859d387e41c335738757a9db17be6d53210d4,0.44810245659375003,2021-12-14T16:22:08.377642,5719
184,5980,0xbe2fd9263344a774fc0f0c82b2a597c4b9d71f16,0.3963,2021-12-14T16:20:41.817973,6242
185,272,0x45a77b0925cfd7367844b872c22751f47143f7e7,0.483,2021-12-14T16:20:34.055006,8051
186,275,0x4d3481f0f69de5da46a42d7a0f70553ab44813ca,0.4705075794234375,2021-12-14T16:19:12.228400,5719
187,275,0x4d3481f0f69de5da46a42d7a0f70553ab44813ca,0.4705075794234375,2021-12-14T16:19:05.629204,5719
188,275,0xb63859d387e41c335738757a9db17be6d53210d4,0.44810245659375003,2021-12-14T16:18:04.562246,5719
189,275,0xdc7c7b647df8346427ca6fea72b789e7acc0a6ca,0.426764244375,2021-12-14T16:17:12.729514,5719
190,5412,0x354bae8609ac52fa7e6ce3ea28361399ca0c8842,0.5011,2021-12-14T16:16:20.012845,8880
191,272,0xdc7c7b647df8346427ca6fea72b789e7acc0a6ca,0.46,2021-12-14T16:15:45.992713,8051
192,4683,0xe5dcbe721fbbce984e78c98b99fae3653b93f145,0.40516875,2021-12-14T16:14:04.039759,6249
193,5051,0xab4d72c8af79da87dcf87b65e30a56be32da718c,0.65,2021-12-14T16:14:00.456649,5888
194,4518,0x76dd6f9bd9209666c1df3cce1e6ac42cd29491b9,0.39,2021-12-14T16:13:44.340004,3580
195,272,0xfb04c48396a3872eae8e9c35c79a0cd11b543266,0.42,2021-12-14T16:13:07.977285,8051
196,272,0xfb04c48396a3872eae8e9c35c79a0cd11b543266,0.42,2021-12-14T16:13:06.971172,8051
197,741,0x76dd6f9bd9209666c1df3cce1e6ac42cd29491b9,0.39,2021-12-14T16:12:52.267680,5192
198,741,0x76dd6f9bd9209666c1df3cce1e6ac42cd29491b9,0.39,2021-12-14T16:12:50.420523,5192
199,275,0xfb04c48396a3872eae8e9c35c79a0cd11b543266,0.4064421375,2021-12-14T16:12:47.473317,5719
200,4683,0xfb04c48396a3872eae8e9c35c79a0cd11b543266,0.4254271875,2021-12-14T16:12:35.024702,6249
201,4683,0xfb04c48396a3872eae8e9c35c79a0cd11b543266,0.4254271875,2021-12-14T16:12:31.141839,6249
202,4683,0xfb04c48396a3872eae8e9c35c79a0cd11b543266,0.40516875,2021-12-14T16:12:16.221475,6249
203,4683,0xfb04c48396a3872eae8e9c35c79a0cd11b543266,0.40516875,2021-12-14T16:12:15.441902,6249
204,741,0xfb04c48396a3872eae8e9c35c79a0cd11b543266,0.368655,2021-12-14T16:11:58.816310,5192
205,4683,0xe5dcbe721fbbce984e78c98b99fae3653b93f145,0.40516875,2021-12-14T16:11:48.421440,6249
206,5981,0xfb04c48396a3872eae8e9c35c79a0cd11b543266,0.4662,2021-12-14T16:11:46.181159,3551
207,5981,0xfb04c48396a3872eae8e9c35c79a0cd11b543266,0.4662,2021-12-14T16:11:43.910473,3551
208,5412,0xdd357a185f447a59ba57b239d79c09310c694b68,0.6,2021-12-14T16:11:17.180505,8880
209,5412,0xdd357a185f447a59ba57b239d79c09310c694b68,0.6,2021-12-14T16:11:14.144529,8880
210,5412,0xdd357a185f447a59ba57b239d79c09310c694b68,0.6,2021-12-14T16:11:05.839462,8880
211,5981,0xe5dcbe721fbbce984e78c98b99fae3653b93f145,0.444,2021-12-14T16:09:36.883536,3551
212,5051,0xfe04b42949b3672d9d3809242615b1cecee442f7,0.6,2021-12-14T16:07:58.297888,5888
213,5051,0x354bae8609ac52fa7e6ce3ea28361399ca0c8842,0.5011,2021-12-14T16:07:44.021190,5888
214,5980,0xfe04b42949b3672d9d3809242615b1cecee442f7,0.5,2021-12-14T16:07:23.008954,6242
215,267,0x7e890851f8da016d2a3dee9ac0685e4923d59294,0.3905,2021-12-14T16:06:15.597555,8666
216,275,0xb63859d387e41c335738757a9db17be6d53210d4,0.38708775,2021-12-14T16:05:35.726200,5719
217,275,0xb63859d387e41c335738757a9db17be6d53210d4,0.38708775,2021-12-14T16:05:34.080379,5719
218,5412,0x1bad9a5dd30b98d30371dd16de8e58540b9774cd,0.75,2021-12-14T16:03:37.439299,8880
219,5412,0x1bad9a5dd30b98d30371dd16de8e58540b9774cd,0.75,2021-12-14T16:03:21.320687,8880
220,4683,0x354bae8609ac52fa7e6ce3ea28361399ca0c8842,0.3511,2021-12-14T15:58:52.454253,6249
221,5412,0x8f3fcc99c84c914bc80166bad316b9a5875bde6b,0.5565,2021-12-14T15:58:00.302085,8880
222,4518,0x354bae8609ac52fa7e6ce3ea28361399ca0c8842,0.3511,2021-12-14T15:54:37.858321,3580
223,5412,0xbe2fd9263344a774fc0f0c82b2a597c4b9d71f16,0.2595,2021-12-14T15:49:18.443684,8880
224,5412,0x1bad9a5dd30b98d30371dd16de8e58540b9774cd,0.53,2021-12-14T15:41:16.918201,8880
225,5412,0x8f3fcc99c84c914bc80166bad316b9a5875bde6b,0.462,2021-12-14T15:28:27.778640,8880
226,275,0xf998ebc047ce68c6eb62a2b04f66afeb6cb01161,0.3036,2021-12-14T15:27:05.931444,5719
227,275,0xd4319e11779920530d35e4c2bc852fcb360b9100,0.368655,2021-12-14T15:03:09.858061,5719
228,4683,0xd4319e11779920530d35e4c2bc852fcb360b9100,0.385875,2021-12-14T15:02:39.661096,6249
229,5412,0x1bad9a5dd30b98d30371dd16de8e58540b9774cd,0.44,2021-12-14T15:00:45.649440,8880
230,5412,0xd4319e11779920530d35e4c2bc852fcb360b9100,0.2480625,2021-12-14T15:00:13.389133,8880
231,5412,0xf09eaa798f36f9e239f44e83d6306d10621888f1,0.2480625,2021-12-14T14:58:11.387853,8880
232,5412,0x297a8e11b8fc77533849d380e6d53bb991c55db8,0.4,2021-12-14T14:40:37.024747,8880
233,5051,0xf998ebc047ce68c6eb62a2b04f66afeb6cb01161,0.3036,2021-12-14T14:39:26.625608,5888
234,267,0x297a8e11b8fc77533849d380e6d53bb991c55db8,0.4,2021-12-14T14:35:15.081613,8666
235,5412,0x297a8e11b8fc77533849d380e6d53bb991c55db8,0.37,2021-12-14T14:32:01.687081,8880
236,5980,0xbe2fd9263344a774fc0f0c82b2a597c4b9d71f16,0.2595,2021-12-14T14:29:13.405238,6242
237,741,0x354bae8609ac52fa7e6ce3ea28361399ca0c8842,0.3511,2021-12-14T14:16:06.248367,5192
238,5981,0x3b002a68251089f3b4f611417a8de80d6693ab14,0.3,2021-12-14T14:15:57.619056,3551
239,275,0x354bae8609ac52fa7e6ce3ea28361399ca0c8842,0.3511,2021-12-14T14:03:57.131713,5719
240,272,0x354bae8609ac52fa7e6ce3ea28361399ca0c8842,0.3511,2021-12-14T14:03:52.221919,8051
241,5051,0xf998ebc047ce68c6eb62a2b04f66afeb6cb01161,0.255,2021-12-14T14:03:46.638021,5888
242,267,0x354bae8609ac52fa7e6ce3ea28361399ca0c8842,0.3511,2021-12-14T14:03:43.839241,8666
243,5981,0xf998ebc047ce68c6eb62a2b04f66afeb6cb01161,0.2204,2021-12-14T14:03:43.048536,3551
244,5051,0x354bae8609ac52fa7e6ce3ea28361399ca0c8842,0.3111,2021-12-14T13:54:11.887497,5888
245,5981,0x2c93e366a1c730d10026465b59802aa6260251ee,0.2546775,2021-12-14T13:54:10.819520,3551
246,741,0xf998ebc047ce68c6eb62a2b04f66afeb6cb01161,0.255,2021-12-14T13:47:58.331342,5192
247,741,0xf998ebc047ce68c6eb62a2b04f66afeb6cb01161,0.255,2021-12-14T13:47:50.654779,5192
248,5051,0x2c93e366a1c730d10026465b59802aa6260251ee,0.25,2021-12-14T13:47:22.254852,5888
249,5051,0x2c93e366a1c730d10026465b59802aa6260251ee,0.25,2021-12-14T13:46:19.931451,5888
250,4518,0x354bae8609ac52fa7e6ce3ea28361399ca0c8842,0.3111,2021-12-14T13:40:20.165640,3580
251,4518,0xb299d34fd3ef9da7a362d8055b18758ec56c8b7c,0.312,2021-12-14T13:29:25.660359,3580
252,5412,0x297a8e11b8fc77533849d380e6d53bb991c55db8,0.3255,2021-12-14T13:18:23.589585,8880
253,272,0xb299d34fd3ef9da7a362d8055b18758ec56c8b7c,0.312,2021-12-14T13:15:17.525703,8051
254,5412,0xbe2fd9263344a774fc0f0c82b2a597c4b9d71f16,0.2214,2021-12-14T12:50:21.764666,8880
255,267,0xf998ebc047ce68c6eb62a2b04f66afeb6cb01161,0.2678,2021-12-14T12:49:15.727277,8666
256,267,0xf998ebc047ce68c6eb62a2b04f66afeb6cb01161,0.2678,2021-12-14T12:49:07.618900,8666
257,4518,0x1d9387f06521a4ab1de333acdd39e97089315548,0.05,2021-12-14T12:37:47.649954,3580
258,5981,0x1f01db68ab62a3de2957be2318d2afcc398bc736,0.24255,2021-12-14T12:31:35.479102,3551
259,5981,0x1f01db68ab62a3de2957be2318d2afcc398bc736,0.24255,2021-12-14T12:30:24.178091,3551
260,272,0xbe2fd9263344a774fc0f0c82b2a597c4b9d71f16,0.2678,2021-12-14T12:20:42.085080,8051
261,272,0x99c6f5b98da7a8da623c3ca73c963dbbb90fb63f,0.4,2021-12-14T12:12:58.025629,8051
262,272,0x99c6f5b98da7a8da623c3ca73c963dbbb90fb63f,0.4,2021-12-14T12:12:55.615085,8051
