,TOKEN_ID,USER,SELLER,DATE,RANK,PRICE
143,2709,0x97f383812589d8e0cfeddec6924a027e92156cd2,0x8d831f50b30abeb94253229d5ffbef72fc5cbfd5,2021-10-22T16:12:18.258048,1642,2.5
144,1384,0x79a920f4f0d142264f147d5840248a8c0ca346d8,0x52f8b6912f49c1cc02e8cdb3ec3d45b115f299cd,2021-10-22T16:11:45.031713,5437,1.62
145,1569,0x60ffcf6f6be058a8c4027f90e4a99c3922363d83,0x5fc6432810f0516789424f6078d03e8a366a07a6,2021-10-22T16:01:11.995680,5926,2.0
146,1114,0x62bd344f41e95938a46ac2f4cec7faf54736f452,0x62bd344f41e95938a46ac2f4cec7faf54736f452,2021-10-22T15:50:44.108066,2187,1.92
147,5279,0x820aedb21dcb709be5c92eea1a5c24c85f9995e8,0x661b9a30a09e5b983f19e85267144e98ff852a79,2021-10-22T15:24:09.852736,1964,2.59
148,4071,0x257e485158593fcd6399df1797ca34820afe636d,0x4461e1ab21e92161994cc37b984276c2ae1e8b2e,2021-10-22T15:14:19.061147,7439,1.619
149,3592,0xda9951c1e95fc456af734840a46d54cc21006129,0x91bd472fa97a7adabac8922815aadf239d2c6f0a,2021-10-22T15:06:19.592265,3858,1.98
150,4635,0xda9951c1e95fc456af734840a46d54cc21006129,0x661b9a30a09e5b983f19e85267144e98ff852a79,2021-10-22T14:57:34.899242,6860,1.79
151,2284,0x75169f916cc53b87056f3348301e7ab833dda941,0xc2bc2660efb68e826db77e4888ac2d91ba0f3ff5,2021-10-22T14:38:06.849749,2880,1.59
152,7414,0x9bf6649f180b28ba60abe887de111e9a4fde93db,0x8fa44c5be73039b118155909945919b9896724d1,2021-10-22T14:24:14.142458,4013,1.75
153,846,0x114e87f834a17fdc796a5201c19ab4c078f0472c,0x39d0792ad8a277af90b91c32eabc2aef37f8c151,2021-10-22T14:00:41.255381,3536,2.388
154,8518,0x2fd0f3854eca7ef0578029edfecb1d871c885f6b,0x2fd0f3854eca7ef0578029edfecb1d871c885f6b,2021-10-22T13:57:22.267820,1834,3.2
155,7243,0x820296f1f6e09428a87155918ae903e8acec5d97,0x820296f1f6e09428a87155918ae903e8acec5d97,2021-10-22T13:31:47.601045,1231,3.2
156,4763,0x0644e6d9727d9cd53c60db055c5f0489f2959a08,0x0a0441050dccd34000cddeee83a085910cf639c9,2021-10-22T12:26:08.187641,8050,1.789
157,5462,0x493a401122d858324517c5ec95145dc970c2c363,0x39d0792ad8a277af90b91c32eabc2aef37f8c151,2021-10-22T12:19:30.752190,3356,2.25
158,6446,0x7156c409039edacb4419747cc59b7ece2c237f46,0x7156c409039edacb4419747cc59b7ece2c237f46,2021-10-22T11:43:35.535778,1629,1.476
159,3276,0x6a7cd0389ae5b1e0838278a05d77d9f947f67d74,0x1fcc04e660786a8f492850cd61d13f18de256ffa,2021-10-22T11:38:02.666203,3084,2.4
160,2427,0xb8d63862fa0e123ff1da5460e3e922c6422b5be5,0x8fa44c5be73039b118155909945919b9896724d1,2021-10-22T11:29:05.538801,7227,1.67
